cfbd_game_id,season,seasonType,week,startDate,homeTeam,awayTeam,homeConference,awayConference,homePoints,awayPoints,venue,neutralSite,conferenceGame
401778123,2025,postseason,1,2025-12-13T17:00:00.000Z,Prairie View A&M,South Carolina State,SWAC,MEAC,,,Mercedes-Benz Stadium,True,False
401778302,2025,postseason,1,2025-12-14T01:00:00.000Z,Washington,Boise State,Big Ten,Mountain West,,,SoFi Stadium,True,False
401778303,2025,postseason,1,2025-12-17T02:00:00.000Z,Jacksonville State,Troy,Conference USA,Sun Belt,,,Cramton Bowl,True,False
401778304,2025,postseason,1,2025-12-17T22:00:00.000Z,South Florida,Old Dominion,American Athletic,Sun Belt,,,Camping World Stadium,True,False
401778305,2025,postseason,1,2025-12-18T01:30:00.000Z,Delaware,Louisiana,Conference USA,Sun Belt,,,Hancock Whitney Stadium,True,False
401838053,2025,postseason,1,2025-12-19T02:00:00.000Z,Arkansas State,Missouri State,Sun Belt,Conference USA,,,Ford Center At The Star,True,False
401778306,2025,postseason,1,2025-12-19T16:00:00.000Z,Western Michigan,Kennesaw State,Mid-American,Conference USA,,,Brooks Stadium (SC),True,False
401778307,2025,postseason,1,2025-12-19T19:30:00.000Z,NC State,Memphis,ACC,American Athletic,,,Raymond James Stadium,True,False
401779840,2025,postseason,1,2025-12-20T01:00:00.000Z,Oklahoma,Alabama,SEC,SEC,,,"Memorial Stadium (Norman, OK)",False,True
401779841,2025,postseason,1,2025-12-20T17:00:00.000Z,Texas A&M,Miami,SEC,ACC,,,Kyle Field,False,False
401779842,2025,postseason,1,2025-12-20T20:30:00.000Z,Ole Miss,Tulane,SEC,American Athletic,,,Vaught-Hemingway Stadium,False,False
401779843,2025,postseason,1,2025-12-21T00:30:00.000Z,Oregon,James Madison,Big Ten,Sun Belt,,,Autzen Stadium,False,False
401778308,2025,postseason,1,2025-12-22T19:00:00.000Z,Utah State,Washington State,Mountain West,Pac-12,,,Albertsons Stadium,True,False
401778309,2025,postseason,1,2025-12-23T19:00:00.000Z,Louisville,Toledo,ACC,Mid-American,,,FAU Stadium,True,False
401778310,2025,postseason,1,2025-12-23T22:30:00.000Z,Southern Miss,Western Kentucky,Sun Belt,Conference USA,,,Caesars Superdome,True,False
401778311,2025,postseason,1,2025-12-24T02:00:00.000Z,Ohio,UNLV,Mid-American,Mountain West,,,Ford Center At The Star,True,False
401778312,2025,postseason,1,2025-12-25T01:00:00.000Z,Hawai'i,California,Mountain West,ACC,,,Clarence T.C. Ching Athletics Complex,False,False
401778313,2025,postseason,1,2025-12-26T18:00:00.000Z,Northwestern,Central Michigan,Big Ten,Mid-American,,,Ford Field,True,False
401778314,2025,postseason,1,2025-12-26T21:30:00.000Z,Minnesota,New Mexico,Big Ten,Mountain West,,,Chase Field,True,False
401778315,2025,postseason,1,2025-12-27T01:00:00.000Z,UTSA,Florida International,American Athletic,Conference USA,,,Gerald J. Ford Stadium,True,False
401778316,2025,postseason,1,2025-12-27T16:00:00.000Z,East Carolina,Pittsburgh,American Athletic,ACC,,,Navy-Marine Corps Memorial Stadium,True,False
401778317,2025,postseason,1,2025-12-27T17:00:00.000Z,Clemson,Penn State,ACC,Big Ten,,,Yankee Stadium,True,False
401778318,2025,postseason,1,2025-12-27T19:15:00.000Z,Army,UConn,American Athletic,FBS Independents,,,Fenway Park,True,False
401778319,2025,postseason,1,2025-12-27T20:30:00.000Z,BYU,Georgia Tech,Big 12,ACC,,,Camping World Stadium,True,False
401778320,2025,postseason,1,2025-12-27T21:30:00.000Z,Fresno State,Miami (OH),Mountain West,Mid-American,,,Arizona Stadium,True,False
401778321,2025,postseason,1,2025-12-27T22:45:00.000Z,San Diego State,North Texas,Mountain West,American Athletic,,,University Stadium (NM),True,False
401778322,2025,postseason,1,2025-12-28T00:30:00.000Z,Missouri,Virginia,SEC,ACC,,,EverBank Stadium,True,False
401778323,2025,postseason,1,2025-12-28T02:15:00.000Z,Houston,LSU,Big 12,SEC,,,NRG Stadium,True,False
401778325,2025,postseason,1,2025-12-30T19:00:00.000Z,Louisiana Tech,Coastal Carolina,Conference USA,Sun Belt,,,Independence Stadium,True,False
401778326,2025,postseason,1,2025-12-30T22:30:00.000Z,Illinois,Tennessee,Big Ten,SEC,,,Nissan Stadium,True,False
401778327,2025,postseason,1,2025-12-31T02:00:00.000Z,TCU,USC,Big 12,Big Ten,,,Alamodome,True,False
401778328,2025,postseason,1,2025-12-31T17:00:00.000Z,Vanderbilt,Iowa,SEC,Big Ten,,,Raymond James Stadium,True,False
401778329,2025,postseason,1,2025-12-31T19:00:00.000Z,Duke,Arizona State,ACC,Big 12,,,Sun Bowl,True,False
401778330,2025,postseason,1,2025-12-31T20:00:00.000Z,Texas,Michigan,SEC,Big Ten,,,Camping World Stadium,True,False
401778331,2025,postseason,1,2025-12-31T20:30:00.000Z,Utah,Nebraska,Big 12,Big Ten,,,Allegiant Stadium,True,False
401778332,2025,postseason,1,2026-01-02T18:00:00.000Z,Texas State,Rice,Sun Belt,American Athletic,,,Amon G. Carter Stadium,True,False
401778333,2025,postseason,1,2026-01-02T21:30:00.000Z,Cincinnati,Navy,Big 12,American Athletic,,,Simmons Bank Liberty Stadium,True,False
401831583,2025,postseason,1,2026-01-03T01:00:00.000Z,SMU,Arizona,ACC,Big 12,,,Snapdragon Stadium,True,False
401778334,2025,postseason,1,2026-01-03T01:00:00.000Z,Mississippi State,Wake Forest,SEC,ACC,,,Bank of America Stadium,True,False
401834618,2025,postseason,13,2025-11-22T17:00:00.000Z,Framingham State,Lagrange College,MSCAC,USA South,21,24,Bowditch Field,False,False
401834615,2025,postseason,13,2025-11-22T17:00:00.000Z,Muhlenberg,Union (NY),Centennial,Liberty League,34,26,Scotty Wood Stadium,False,False
401834635,2025,postseason,13,2025-11-22T17:00:00.000Z,Kutztown University,Bentley,Pennsylvania State Athletic,Northeast 10,52,0,Andre Reed Stadium,False,False
401834624,2025,postseason,13,2025-11-22T17:00:00.000Z,Springfield,Cortland,NEWMAC,Empire 8,21,7,Stagg Field,False,False
401834619,2025,postseason,13,2025-11-22T17:00:00.000Z,Hanover College,Grove City College,Heartland,Presidents',23,15,Alumni Stadium (IN),False,False
