team,wins,losses,ties,record
Tuskegee,4,6,0,4-6
St. Scholastica,3,7,0,3-7
Greensboro College,3,7,0,3-7
SUNY Maritime,5,6,0,5-6
Northern Iowa,3,9,0,3-9
BYU,10,1,0,10-1
Western Connecticut St,5,5,0,5-5
Wisconsin,4,7,0,4-7
UL Monroe,3,8,0,3-8
Minnesota State Moorhead,8,3,0,8-3
Eastern Kentucky,5,7,0,5-7
Ferris State,12,0,0,12-0
Elon,6,6,0,6-6
Wilkes,7,4,0,7-4
Bethel (MN),10,0,0,10-0
Saint Vincent,2,8,0,2-8
Kenyon,1,9,0,1-9
Delaware,5,6,0,5-6
Manchester,0,10,0,0-10
Buena Vista,3,7,0,3-7
Shaw,2,8,0,2-8
Valparaiso,2,10,0,2-10
Coastal Carolina,6,5,0,6-5
Monmouth (IL),9,1,0,9-1
Washington State,5,6,0,5-6
Wake Forest,8,3,0,8-3
Coe College,9,2,0,9-2
New Mexico Highlands,6,5,0,6-5
Wisconsin-Eau Claire,3,7,0,3-7
North Park,3,7,0,3-7
Morgan State,4,8,0,4-8
Lane College,0,10,0,0-10
Mississippi Valley State,1,10,0,1-10
Stonehill,4,8,0,4-8
Mercer,9,2,0,9-2
Millersville,0,11,0,0-11
Hanover College,9,2,0,9-2
Georgia,10,1,0,10-1
Wisconsin-Platteville,8,2,0,8-2
Hampton,2,10,0,2-10
Franklin,5,5,0,5-5
USC,8,3,0,8-3
Minnesota State Mankato,9,3,0,9-3
New Mexico State,4,7,0,4-7
La Verne,1,8,0,1-8
Pittsburgh,8,3,0,8-3
Western Kentucky,8,3,0,8-3
South Dakota,8,4,0,8-4
Salisbury,9,1,0,9-1
San Diego,8,4,0,8-4
Florida,3,8,0,3-8
Youngstown State,8,4,0,8-4
Dayton,7,4,0,7-4
Bentley,7,4,0,7-4
Charleston Southern,5,7,0,5-7
Beloit,1,9,0,1-9
Fayetteville State,6,4,0,6-4
Kings College (PA),5,5,0,5-5
University of Rochester (NY),5,5,0,5-5
Capital,3,7,0,3-7
Colorado State,2,9,0,2-9
New Haven,5,5,0,5-5
Middle Tennessee,2,9,0,2-9
Chattanooga,5,7,0,5-7
Washington & Jefferson,8,3,0,8-3
Lake Erie,2,9,0,2-9
Northwestern State,1,11,0,1-11
Miami (OH),6,5,0,6-5
Carthage,4,6,0,4-6
Mercyhurst,5,7,0,5-7
Reading,0,10,0,0-10
Kalamazoo,4,6,0,4-6
Carroll University (WI),4,6,0,4-6
North Greenville,7,5,0,7-5
Averett,1,9,0,1-9
Lewis & Clark College,6,4,0,6-4
Hawai'i,7,4,0,7-4
Alfred University,4,6,0,4-6
Kentucky Wesleyan,0,11,0,0-11
Oberlin,0,10,0,0-10
Maine,6,6,0,6-6
Southern Nazarene,2,9,0,2-9
Oklahoma State,1,10,0,1-10
Southwest Minnesota State,1,10,0,1-10
South Alabama,4,7,0,4-7
Southern,1,10,0,1-10
Slippery Rock,6,4,0,6-4
Depauw,9,1,0,9-1
Georgia Tech,9,2,0,9-2
Merchant Marine Academy,8,2,0,8-2
Duke,6,5,0,6-5
Hamilton,2,7,0,2-7
Minnesota,6,5,0,6-5
Temple,5,6,0,5-6
Bloomsburg,3,8,0,3-8
Bemidji State,4,7,0,4-7
Presbyterian,10,2,0,10-2
Husson,4,6,0,4-6
Sioux Falls,7,4,0,7-4
Idaho State,6,6,0,6-6
North Texas,10,1,0,10-1
Pennsylvania,6,4,0,6-4
Chapman,9,2,0,9-2
Concordia University Chicago,4,6,0,4-6
Heidelberg,6,4,0,6-4
Campbell,2,10,0,2-10
Missouri Southern State,3,8,0,3-8
Hampden-Sydney,7,3,0,7-3
San José State,3,8,0,3-8
Texas Southern,6,5,0,6-5
Michigan Tech,7,4,0,7-4
Alabama,9,2,0,9-2
Arizona,8,3,0,8-3
Jacksonville State,7,4,0,7-4
Johnson C Smith,9,2,0,9-2
Adams State,0,11,0,0-11
Tennessee,8,3,0,8-3
Air Force,3,8,0,3-8
Davidson,2,10,0,2-10
Lafayette,8,4,0,8-4
Arkansas,2,9,0,2-9
Keystone,1,1,0,1-1
Chowan,4,7,0,4-7
Washington University (St. Louis),8,3,0,8-3
Northwestern Oklahoma State,2,9,0,2-9
Apprentice School,0,3,0,0-3
Findlay,10,2,0,10-2
Augustana (IL),7,3,0,7-3
South Dakota State,8,4,0,8-4
Stevenson,6,4,0,6-4
Navy,8,2,0,8-2
Northwest Missouri St,9,3,0,9-3
St. Anselm,5,5,0,5-5
Stetson,3,9,0,3-9
Army,5,5,0,5-5
North Central College,10,0,0,10-0
Brockport,7,4,0,7-4
Hardin-Simmons,9,1,0,9-1
Rensselaer,8,3,0,8-3
Tulane,9,2,0,9-2
College Of New Jersey,6,4,0,6-4
Toledo,7,4,0,7-4
Bethune-Cookman,6,6,0,6-6
Georgia Southern,5,6,0,5-6
John Carroll University,9,1,0,9-1
Texas A&M-Kingsville,5,6,0,5-6
Louisiana,5,6,0,5-6
Delaware Valley,8,3,0,8-3
Macalester,3,7,0,3-7
Wilson,3,8,0,3-8
Rowan,8,2,1,8-2
Central Oklahoma,6,5,0,6-5
Amherst,5,4,0,5-4
Sacramento State,7,5,0,7-5
Ursinus,7,4,0,7-4
Assumption,9,2,0,9-2
Syracuse,3,8,0,3-8
Indiana-Pennsylvania,7,4,0,7-4
Oklahoma Panhandle St,0,1,0,0-1
Murray State,1,11,0,1-11
Notre Dame,9,2,0,9-2
Dartmouth,7,3,0,7-3
Princeton,3,7,0,3-7
Winona State,6,5,0,6-5
Lindenwood,6,6,0,6-6
Carnegie Mellon,6,5,0,6-5
Midwestern State,3,8,0,3-8
Saginaw Valley State,6,5,0,6-5
LYONCOLL,2,7,1,2-7
St. Lawrence,4,6,0,4-6
West Florida,10,1,0,10-1
Robert Morris,3,9,0,3-9
Memphis,8,3,0,8-3
Mississippi State,5,6,0,5-6
Lakeland,4,6,0,4-6
Wayne State (MI),0,11,0,0-11
Boise State,7,4,0,7-4
Tennessee Tech,11,1,0,11-1
Texas A&M,11,0,0,11-0
Wisconsin-Stevens Pt,4,6,0,4-6
Wesleyan University (CT),7,2,0,7-2
Middlebury,5,4,0,5-4
Illinois Wesleyan,4,6,0,4-6
North Carolina A&T,2,10,0,2-10
Truman State,8,4,0,8-4
Savannah St,4,6,0,4-6
Houston Christian,2,10,0,2-10
Alabama State,9,2,0,9-2
McMurry,6,4,0,6-4
Utah Tech,2,10,0,2-10
Northwestern (MN),4,6,0,4-6
Montana State,10,2,0,10-2
Gannon,1,10,0,1-10
Arkansas State,5,6,0,5-6
Villanova,9,2,0,9-2
Austin,3,6,0,3-6
Adrian,8,2,0,8-2
Wartburg,10,0,0,10-0
Wisconsin-Whitewater,8,2,0,8-2
Gallaudet,1,8,0,1-8
Harding University,12,0,0,12-0
Lagrange College,10,1,0,10-1
Wisconsin-Oshkosh,5,5,0,5-5
Mars Hill,5,6,0,5-6
Arkansas Tech,7,4,0,7-4
Rutgers,5,6,0,5-6
Berry College,9,1,0,9-1
Cortland,8,3,0,8-3
Tennessee State,2,10,0,2-10
Kennesaw State,8,3,0,8-3
Maine Maritime,0,10,0,0-10
Gettysburg,1,9,0,1-9
Western Colorado,10,2,0,10-2
SMU,8,3,0,8-3
Concordia University St Paul,2,9,0,2-9
UVA Wise,1,9,0,1-9
East Texas Baptist University,4,6,0,4-6
Shippensburg,3,8,0,3-8
Northern Michigan,3,8,0,3-8
Glenville State,6,5,0,6-5
Hartwick,4,6,0,4-6
Elizabeth City State,4,6,0,4-6
Florida International,6,5,0,6-5
West Georgia,8,3,0,8-3
UMass Dartmouth,6,4,0,6-4
Marist,5,7,0,5-7
University Of Charleston (WV),8,3,0,8-3
Butler,6,6,0,6-6
Northern Arizona,7,5,0,7-5
VMI,1,11,0,1-11
Samford,1,11,0,1-11
Eastern University,9,1,0,9-1
Fort Lewis,2,9,0,2-9
Washburn,3,8,0,3-8
Purdue,2,9,0,2-9
Troy,7,4,0,7-4
Western Illinois,4,8,0,4-8
Wisconsin-Lutheran,5,5,0,5-5
Austin Peay,7,5,0,7-5
Ferrum,4,7,0,4-7
Richmond,7,5,0,7-5
South Carolina State,9,3,0,9-3
CSU Pueblo,10,2,0,10-2
San Diego State,9,2,0,9-2
Nichols College,2,8,0,2-8
Towson,6,6,0,6-6
UCF,5,6,0,5-6
Vanderbilt,9,2,0,9-2
West Virginia Wesleyan,0,11,0,0-11
Wilmington (OH),3,7,0,3-7
North Carolina Wesleyan,4,6,0,4-6
Louisiana Tech,6,5,0,6-5
St John Fisher University,7,4,0,7-4
Iowa State,7,4,0,7-4
Gustavus Adolphus,5,5,0,5-5
Norwich,1,9,0,1-9
Grinnell,2,8,0,2-8
Hobart College,6,5,0,6-5
Kean,3,7,0,3-7
