game_id,bowl_name,kickoff_datetime,point_value,away_team,home_team,away_rank,home_rank,away_record,home_record,status,winner,completed,away_score,home_score,cfbd_game_id,away_logo,home_logo,location,network,spread
1,Cricket Celebration Bowl,2025-12-13 12:00:00,1,South Carolina State,Prairie View A&M,,,9-3,10-3,NOT_STARTED,,False,,,401778123,/static/logos/South_Carolina_State.png,/static/logos/Prairie_View_AM.png,"Mercedes-Benz Stadium, Atlanta, GA",ABC,
2,Bucked Up LA Bowl,2025-12-13 20:00:00,1,Boise State,Washington,,,9-4,8-4,NOT_STARTED,,False,,,401778302,/static/logos/Boise_State.png,/static/logos/Washington.png,"SoFi Stadium, Inglewood, CA",ABC,
3,IS4S Salute to Veterans Bowl,2025-12-16 21:00:00,1,Troy,Jacksonville State,,,8-5,8-5,NOT_STARTED,,False,,,401778303,/static/logos/Troy.png,/static/logos/Jacksonville_State.png,"Cramton Bowl, Montgomery, AL",ESPN,
4,StaffDNA Cure Bowl,2025-12-17 17:00:00,1,Old Dominion,South Florida,,,9-3,9-3,NOT_STARTED,,False,,,401778304,/static/logos/Old_Dominion.png,/static/logos/South_Florida.png,"Camping World Stadium, Orlando, FL",ESPN,
5,68 Ventures Bowl,2025-12-17 20:30:00,1,Louisiana,Delaware,,,6-6,6-6,NOT_STARTED,,False,,,401778305,/static/logos/Louisiana.png,/static/logos/Delaware.png,"Hancock Whitney Stadium, Mobile, AL",ESPN,
6,Xbox Bowl,2025-12-18 21:00:00,1,Missouri State,Arkansas State,,,7-5,6-6,NOT_STARTED,,False,,,401838053,/static/logos/Missouri_State.png,/static/logos/Arkansas_State.png,"Ford Center at The Star, Frisco, TX",ESPN2,
7,Myrtle Beach Bowl Presented by Engine,2025-12-19 11:00:00,1,Kennesaw State,Western Michigan,,,10-3,9-4,NOT_STARTED,,False,,,401778306,/static/logos/Kennesaw_State.png,/static/logos/Western_Michigan.png,"Brooks Stadium, Conway, SC",ESPN,
8,Union Home Mortgage Gasparilla Bowl,2025-12-19 14:30:00,1,Memphis,NC State,,,8-4,7-5,NOT_STARTED,,False,,,401778307,/static/logos/Memphis.png,/static/logos/NC_State.png,"Raymond James Stadium, Tampa, FL",ESPN,
9,CFP First Round,2025-12-19 20:00:00,2,Alabama,Oklahoma,9,8,10-3,10-2,NOT_STARTED,,False,,,401779840,/static/logos/Alabama.png,/static/logos/Oklahoma.png,"Oklahoma Memorial Stadium, Norman, OK",ABC,
10,CFP First Round,2025-12-20 12:00:00,2,Miami,Texas A&M,10,7,10-2,11-1,NOT_STARTED,,False,,,401779841,/static/logos/Miami.png,/static/logos/Texas_AM.png,"Kyle Field, College Station, TX",ABC,
11,CFP First Round,2025-12-20 15:30:00,2,Tulane,Ole Miss,11,6,11-2,11-1,NOT_STARTED,,False,,,401779842,/static/logos/Tulane.png,/static/logos/Ole_Miss.png,"Vaught-Hemingway Stadium, Oxford, MS",TNT,
12,CFP First Round,2025-12-20 19:30:00,2,James Madison,Oregon,12,5,12-1,11-1,NOT_STARTED,,False,,,401779843,/static/logos/James_Madison.png,/static/logos/Oregon.png,"Autzen Stadium, Eugene, OR",TNT,
13,Famous Idaho Potato Bowl,2025-12-22 14:00:00,1,Washington State,Utah State,,,6-6,6-6,NOT_STARTED,,False,,,401778308,/static/logos/Washington_State.png,/static/logos/Utah_State.png,"Albertsons Stadium, Boise, ID",ESPN,
14,Bush's Boca Raton Bowl,2025-12-23 14:00:00,1,Toledo,Louisville,,,8-4,8-4,NOT_STARTED,,False,,,401778309,/static/logos/Toledo.png,/static/logos/Louisville.png,"Flagler Credit Union Stadium, Boca Raton, FL",ESPN,
15,New Orleans Bowl,2025-12-23 17:30:00,1,Western Kentucky,Southern Miss,,,8-4,7-5,NOT_STARTED,,False,,,401778310,/static/logos/Western_Kentucky.png,/static/logos/Southern_Miss.png,"Caesars Superdome, New Orleans, LA",ESPN,
16,Scooter's Coffee Frisco Bowl,2025-12-23 21:00:00,1,UNLV,Ohio,,,10-3,8-4,NOT_STARTED,,False,,,401778311,/static/logos/UNLV.png,/static/logos/Ohio.png,"Ford Center at The Star, Frisco, TX",ESPN,
17,Sheraton Hawai'i Bowl,2025-12-24 20:00:00,1,California,Hawaii,,,8-4,8-4,NOT_STARTED,,False,,,401778312,/static/logos/California.png,/static/logos/Hawaii.png,"Clarence T.C. Ching Athletics Complex, Honolulu, HI",ESPN,
